Generation N Sum GN.F GN.M PN2.F PN2.M Program Trait value Population h2 rep
30 9000 3.06686841802155 4.85367014565001 -2.6374781227787 0.752561777104827 0.0981146180454117 PN2 I Ebv PN2 0.25 0
31 9000 3.45095383057746 5.53218692933453 -2.86360452176524 0.748112843370502 0.0342585796376686 PN2 I Ebv PN2 0.25 0
32 9000 3.85882950930622 6.15359385346354 -3.10723575290345 0.772151081617273 0.0403203271288637 PN2 I Ebv PN2 0.25 0
33 9000 4.41841846801888 6.81972276377904 -3.18631206904759 0.771216894286406 0.0137908790010283 PN2 I Ebv PN2 0.25 0
34 9000 4.87965682833412 7.42102431319534 -3.3566670378754 0.757197887490693 0.0581016655234877 PN2 I Ebv PN2 0.25 0
35 9000 5.29671265920339 8.05096674920321 -3.54240067707639 0.776271517290689 0.0118750697858737 PN2 I Ebv PN2 0.25 0
36 9000 5.63306584473831 8.68449901571985 -3.80710604817882 0.744712898446934 0.0109599787503552 PN2 I Ebv PN2 0.25 0
37 9000 6.06030743414621 9.26344948130842 -3.92858874254621 0.72478404760857 0.000662647775429923 PN2 I Ebv PN2 0.25 0
38 9000 6.45970489447887 9.76973821432395 -4.01093507859087 0.683532096885428 0.0173696618603704 PN2 I Ebv PN2 0.25 0
39 9000 6.90828605752941 10.2304423288113 -3.97422544678861 0.624522961992753 0.0275462135139751 PN2 I Ebv PN2 0.25 0
